iter	Passed	Remaining
400	20142	30088
401	20186	30028
402	20253	30004
403	20321	29979
404	20383	29946
405	20435	29898
406	20478	29836
407	20520	29775
408	20566	29718
409	20618	29670
410	20684	29643
411	20752	29617
412	20805	29570
413	20849	29512
414	20893	29452
415	20961	29426
416	21012	29376
417	21066	29331
418	21108	29269
419	21161	29222
420	21215	29177
421	21258	29117
422	21304	29060
423	21348	29001
424	21391	28941
425	21435	28882
426	21478	28821
427	21521	28762
428	21562	28699
429	21607	28641
430	21656	28591
431	21701	28533
432	21767	28504
433	21836	28477
434	21915	28465
435	21975	28427
436	22037	28391
437	22079	28330
438	22121	28269
439	22173	28221
440	22216	28160
441	22260	28102
442	22301	28041
443	22344	27980
444	22385	27919
445	22427	27857
446	22494	27829
447	22539	27771
448	22604	27740
449	22669	27707
450	22715	27651
451	22756	27590
452	22798	27529
453	22840	27469
454	22895	27423
455	22938	27364
456	22981	27306
457	23025	27247
458	23067	27188
459	23111	27130
460	23172	27093
461	23235	27057
462	23289	27012
463	23355	26979
464	23396	26918
465	23438	26859
466	23491	26811
467	23554	26775
468	23614	26736
469	23674	26697
470	23725	26647
471	23768	26588
472	23820	26539
473	23861	26478
474	23913	26430
475	23969	26386
476	24031	26348
477	24069	26284
478	24119	26234
479	24180	26195
480	24241	26156
481	24283	26096
482	24327	26039
483	24370	25981
484	24413	25923
485	24464	25873
486	24523	25832
487	24565	25773
488	24618	25725
489	24662	25669
490	24723	25629
491	24765	25570
492	24807	25512
493	24849	25453
494	24890	25393
495	24932	25334
496	24991	25293
497	25039	25241
498	25087	25188
499	25127	25127
500	25174	25074
501	25243	25042
502	25292	24990
503	25341	24938
504	25384	24881
505	25425	24822
506	25473	24770
507	25534	24729
508	25589	24684
509	25631	24626
510	25677	24572
511	25720	24514
512	25762	24456
513	25828	24421
514	25871	24364
515	25915	24307
516	25958	24251
517	26004	24196
518	26071	24162
519	26139	24128
520	26208	24095
521	26268	24054
522	26331	24015
523	26374	23958
524	26417	23901
525	26460	23844
526	26509	23792
527	26552	23736
528	26595	23679
529	26660	23641
530	26711	23592
531	26754	23536
532	26798	23480
533	26840	23422
534	26889	23371
535	26948	23328
536	26990	23270
537	27032	23213
538	27074	23156
539	27139	23118
540	27181	23061
541	27223	23004
542	27282	22961
543	27324	22904
544	27381	22860
545	27425	22804
546	27487	22763
547	27547	22721
548	27590	22665
549	27634	22610
550	27685	22560
551	27727	22503
552	27777	22453
553	27820	22396
554	27863	22340
555	27912	22289
556	27955	22233
557	28000	22179
558	28049	22128
559	28109	22085
560	28160	22036
561	28209	21985
562	28254	21931
563	28298	21876
564	28343	21821
565	28387	21767
566	28450	21726
567	28503	21678
568	28572	21642
569	28619	21590
570	28663	21534
571	28708	21481
572	28753	21426
573	28798	21373
574	28844	21320
575	28912	21282
576	28958	21229
577	29001	21174
578	29045	21119
579	29098	21071
580	29143	21017
581	29189	20964
582	29235	20911
583	29310	20878
584	29357	20826
585	29410	20778
586	29456	20724
587	29526	20688
588	29582	20642
589	29628	20589
590	29697	20552
591	29749	20503
592	29794	20449
593	29839	20395
594	29904	20355
595	29946	20299
596	29989	20244
597	30031	20188
598	30075	20134
599	30153	20102
600	30197	20047
601	30262	20007
602	30327	19966
603	30370	19912
604	30436	19871
605	30478	19816
606	30529	19766
607	30572	19711
608	30626	19663
609	30669	19608
610	30722	19559
611	30765	19505
612	30824	19459
613	30867	19405
614	30910	19350
615	30960	19299
616	31026	19259
617	31069	19204
618	31111	19149
619	31153	19094
620	31197	19040
621	31241	18986
622	31285	18932
623	31327	18876
624	31372	18823
625	31413	18767
626	31456	18713
627	31500	18659
628	31559	18614
629	31622	18572
630	31666	18518
631	31728	18474
632	31792	18432
633	31833	18377
634	31898	18335
635	31942	18281
636	32008	18240
637	32069	18196
638	32112	18141
639	32173	18097
640	32216	18043
641	32258	17988
642	32299	17932
643	32340	17877
644	32382	17823
645	32433	17773
646	32476	17718
647	32517	17663
648	32560	17609
649	32600	17554
650	32640	17498
651	32688	17447
652	32781	17420
653	32822	17364
654	32880	17318
655	32921	17263
656	32962	17208
657	33014	17159
658	33053	17103
659	33115	17059
660	33158	17005
661	33200	16951
662	33258	16905
663	33297	16849
664	33338	16794
665	33381	16740
666	33422	16686
667	33481	16640
668	33540	16594
669	33584	16541
670	33631	16490
671	33682	16440
672	33723	16385
673	33775	16336
674	33815	16281
675	33857	16227
676	33899	16173
677	33960	16128
678	34001	16074
679	34043	16020
680	34089	15968
681	34135	15916
682	34200	15873
683	34250	15823
684	34314	15779
685	34365	15729
686	34406	15675
687	34448	15622
688	34512	15578
689	34555	15525
690	34608	15476
691	34670	15431
692	34734	15387
693	34774	15332
694	34829	15284
695	34881	15235
696	34926	15183
697	34970	15130
698	35013	15077
699	35067	15028
700	35126	14982
701	35195	14940
702	35247	14891
703	35290	14838
704	35333	14784
705	35375	14731
706	35415	14677
707	35474	14630
708	35522	14579
709	35568	14527
710	35612	14475
711	35655	14422
712	35697	14369
713	35740	14316
714	35782	14263
715	35825	14210
716	35867	14156
717	35909	14103
718	35950	14050
719	35991	13996
720	36034	13943
721	36075	13890
722	36118	13838
723	36162	13785
724	36205	13733
725	36246	13679
726	36288	13626
727	36330	13573
728	36393	13529
729	36435	13476
730	36495	13429
731	36538	13377
732	36578	13324
733	36622	13271
734	36665	13219
735	36704	13165
736	36744	13112
737	36784	13059
738	36823	13005
739	36863	12952
740	36903	12898
741	36944	12845
742	36982	12792
743	37024	12739
744	37066	12687
745	37109	12635
746	37152	12583
747	37194	12530
748	37236	12478
749	37279	12426
750	37322	12374
751	37363	12322
752	37404	12269
753	37444	12216
754	37487	12164
755	37534	12114
756	37600	12069
757	37671	12026
758	37726	11979
759	37778	11930
760	37843	11885
761	37908	11840
762	37950	11788
763	38001	11738
764	38065	11693
765	38105	11640
766	38172	11596
767	38214	11543
768	38282	11499
769	38328	11448
770	38370	11396
771	38413	11345
772	38454	11292
773	38499	11241
774	38563	11195
775	38614	11146
776	38656	11094
777	38699	11042
778	38741	10990
779	38799	10943
780	38861	10897
781	38911	10847
782	38964	10798
783	39028	10752
784	39087	10705
785	39149	10659
786	39211	10612
787	39250	10559
788	39310	10512
789	39350	10460
790	39399	10410
791	39436	10357
792	39474	10304
793	39524	10254
794	39564	10202
795	39603	10149
796	39659	10101
797	39714	10053
798	39771	10005
799	39817	9954
800	39856	9901
801	39910	9853
802	39950	9801
803	40007	9752
804	40055	9702
805	40094	9650
806	40151	9602
807	40206	9553
808	40258	9504
809	40313	9456
810	40368	9407
811	40418	9358
812	40459	9306
813	40509	9256
814	40566	9208
815	40605	9156
816	40657	9106
817	40695	9054
818	40743	9004
819	40798	8955
820	40838	8903
821	40879	8852
822	40926	8801
823	40966	8750
824	41007	8698
825	41061	8649
826	41110	8599
827	41163	8550
828	41203	8499
829	41242	8447
830	41281	8395
831	41320	8343
832	41359	8291
