iter	Precision	Logloss
0	0.8561087671	0.6663077715
1	0.8502404266	0.6445909875
2	0.8502404266	0.6259673183
3	0.8561087671	0.6111158297
4	0.8465112082	0.6021444588
5	0.8498961527	0.5898792144
6	0.8492847334	0.5778458518
7	0.8565350829	0.5716489181
8	0.8514032151	0.5639849511
9	0.8501612845	0.5597414442
10	0.8522930137	0.5561589692
11	0.8541624716	0.5536140286
12	0.8507528191	0.5494019939
13	0.8477602735	0.5448453361
14	0.8528803162	0.5423079581
15	0.8483582078	0.5375214546
16	0.8462883259	0.5304975185
17	0.8504144918	0.5276631038
18	0.7898678914	0.5224402366
19	0.794816671	0.518659679
20	0.8008282542	0.5165195134
21	0.8131284218	0.5154322984
22	0.7991283245	0.5142572406
23	0.7924648193	0.5134777663
24	0.7850367308	0.5122534351
25	0.7840530192	0.5099314756
26	0.783123744	0.5077273186
27	0.7841048232	0.5038842238
28	0.7850367308	0.5028554156
29	0.78889088	0.4989476894
30	0.8025188337	0.495165561
31	0.7907806813	0.4935725808
32	0.8076867892	0.4876073544
33	0.8151326999	0.4862978854
34	0.8088585721	0.4846358816
35	0.8091492901	0.4835377298
36	0.8271000826	0.4790886359
37	0.8279042656	0.4780480764
38	0.820185018	0.4750447824
39	0.8221828666	0.4746123164
40	0.830790008	0.4710535764
41	0.8333530983	0.470465204
42	0.8303059084	0.4657696847
43	0.8303059084	0.4653344264
44	0.8300498092	0.4650512932
45	0.8300498092	0.4630498729
46	0.8300498092	0.4630318389
47	0.8272592482	0.4618671651
48	0.8264719391	0.4609721281
49	0.8284968328	0.4607252665
50	0.8323199035	0.4603205205
51	0.8356857198	0.4595865965
52	0.8325765331	0.4586781795
53	0.833087443	0.4573569884
54	0.8323236284	0.4551374734
55	0.8295352848	0.454383654
56	0.8280394455	0.4517278045
57	0.8240477915	0.4513133725
58	0.8240477915	0.4503763338
59	0.8282979474	0.4476386334
60	0.8297929359	0.4467934807
61	0.8280394455	0.4464597361
62	0.8318155198	0.4457371561
63	0.8318155198	0.44523715
64	0.8338479878	0.443489834
65	0.8338479878	0.4433091453
66	0.8338479878	0.4433077492
67	0.837942867	0.443277615
68	0.8384360596	0.4429038176
69	0.8384360596	0.4425427603
70	0.8323236284	0.4419078486
71	0.8323236284	0.4416146513
72	0.8351002765	0.4386583619
73	0.8351002765	0.4351335374
74	0.8338296988	0.4342580178
75	0.8330800608	0.4338668845
76	0.8330800608	0.4336029197
77	0.8378653026	0.432545897
78	0.8373760496	0.4318634571
79	0.8353484724	0.4315518187
80	0.8432800796	0.4301579682
81	0.8428015151	0.4251006062
82	0.8448767236	0.4240198485
83	0.8451137884	0.4211987847
84	0.8453501297	0.4210827856
85	0.8428015151	0.4207961911
86	0.8490579506	0.420281787
87	0.8469621767	0.4194402701
88	0.8430411621	0.4190685961
89	0.8469621767	0.4168643809
90	0.853958023	0.4134127975
91	0.8492897653	0.4126395188
92	0.8476633906	0.4099078686
93	0.8476633906	0.4096529498
94	0.8481273074	0.4088121601
95	0.853958023	0.4083553483
96	0.8518494505	0.4081381846
97	0.8555142275	0.4068203967
